TITLE,sample 6
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,15:58:39
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.02086
MAXY,   343.68100
MINY,    -0.02471
XYDATA
1400.0000,0.0208551
1399.9000,0.0153644
1399.8000,0.016236
1399.7000,0.0119576
1399.6000,0.00600691
1399.5000,0.00529335
1399.4000,0.00948871
1399.3000,0.008828
1399.2000,-0.00440351
1399.1000,-0.0100304
1399.0000,-0.0150912
1398.9000,-0.0129706
1398.8000,-0.00684525
1398.7000,-0.00483968
1398.6000,0.00380011
1398.5000,0.00178982
1398.4000,-0.00171823
1398.3000,-0.0127254
1398.2000,-0.00901342
1398.1000,-0.00476585
1398.0000,-0.00556867
1397.9000,-0.0106105
1397.8000,-0.0140182
1397.7000,-0.0105321
1397.6000,-0.0171623
1397.5000,-0.0158255
1397.4000,-0.020787
1397.3000,-0.0216746
1397.2000,-0.0157427
1397.1000,-0.0160651
1397.0000,-0.0238008
1396.9000,-0.0247096
1396.8000,-0.0171463
1396.7000,-0.012694
1396.6000,-0.0141889
1396.5000,-0.0119253
1396.4000,-0.000555163
1396.3000,-0.00470632
1396.2000,-0.0112944
1396.1000,-0.0100925
1396.0000,-0.00393561
1395.9000,-0.0054476
1395.8000,0.00665911
1395.7000,0.0113838
1395.6000,0.0109283
1395.5000,0.00452085
1395.4000,-6.023E-05
1395.3000,-0.00235569
1395.2000,0.00279875
1395.1000,0.01017
1395.0000,0.00376792
1394.9000,0.00497748
1394.8000,0.00834813
1394.7000,0.0110803
1394.6000,0.0170107
1394.5000,0.0165033
1394.4000,0.0199891
1394.3000,0.013785
1394.2000,0.0185503
1394.1000,0.021228
1394.0000,0.016214
1393.9000,0.0133128
1393.8000,0.0143821
1393.7000,0.0100215
1393.6000,0.00495042
1393.5000,-0.00265024
1393.4000,-0.00134905
1393.3000,0.00293274
1393.2000,-0.00894264
1393.1000,0.00234725
1393.0000,0.00852262
1392.9000,0.0107452
1392.8000,0.0146863
1392.7000,0.0129895
1392.6000,0.00973376
1392.5000,0.00831293
1392.4000,0.0071599
1392.3000,0.00419398
1392.2000,-0.00132401
1392.1000,0.0019543
1392.0000,0.00561391
1391.9000,-0.0016268
1391.8000,0.00463477
1391.7000,0.00867131
1391.6000,0.00813717
1391.5000,0.00634302
1391.4000,0.00933773
1391.3000,0.00731447
1391.2000,0.0102295
1391.1000,0.00720108
1391.0000,0.00554027
1390.9000,0.00726558
1390.8000,0.00868636
1390.7000,0.0141042
1390.6000,0.0167184
1390.5000,0.0215524
1390.4000,0.0228071
1390.3000,0.0234888
