TITLE,sample 5
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,15:48:47
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01844
MAXY,   260.49493
MINY,    -0.00445
XYDATA
1400.0000,0.0184407
1399.9000,0.0151123
1399.8000,0.0198211
1399.7000,0.0239622
1399.6000,0.0283805
1399.5000,0.0261346
1399.4000,0.0337267
1399.3000,0.0325591
1399.2000,0.0311911
1399.1000,0.0275177
1399.0000,0.0213592
1398.9000,0.0165373
1398.8000,0.0158766
1398.7000,0.010276
1398.6000,0.00709842
1398.5000,0.00761131
1398.4000,0.0108243
1398.3000,0.0127073
1398.2000,0.017546
1398.1000,0.0170372
1398.0000,0.0133384
1397.9000,0.00678779
1397.8000,0.00714464
1397.7000,0.0123093
1397.6000,0.00943379
1397.5000,0.0079218
1397.4000,0.00337663
1397.3000,0.00662323
1397.2000,0.00592829
1397.1000,0.00821553
1397.0000,0.0120224
1396.9000,0.0129521
1396.8000,0.0138026
1396.7000,0.0168709
1396.6000,0.0194883
1396.5000,0.0158604
1396.4000,0.0133638
1396.3000,0.0134613
1396.2000,0.00491146
1396.1000,0.00723443
1396.0000,0.0115277
1395.9000,0.0142755
1395.8000,0.0167311
1395.7000,0.0223614
1395.6000,0.0226598
1395.5000,0.0254794
1395.4000,0.0197886
1395.3000,0.0175196
1395.2000,0.0160905
1395.1000,0.0158954
1395.0000,0.0112437
1394.9000,0.0106208
1394.8000,0.00928734
1394.7000,0.0132902
1394.6000,0.0142396
1394.5000,0.0195099
1394.4000,0.0225284
1394.3000,0.0185592
1394.2000,0.0146285
1394.1000,0.0116766
1394.0000,0.00470213
1393.9000,0.00027376
1393.8000,-0.00119886
1393.7000,-0.00445384
1393.6000,-0.00430994
1393.5000,-0.0020516
1393.4000,-0.00277696
1393.3000,-0.00304457
1393.2000,0.00024769
1393.1000,0.000456458
1393.0000,0.00346769
1392.9000,0.00706228
1392.8000,0.0058369
1392.7000,0.00784846
1392.6000,0.0122416
1392.5000,0.0140878
1392.4000,0.00999044
1392.3000,0.00988648
1392.2000,0.0187844
1392.1000,0.0165171
1392.0000,0.0218401
1391.9000,0.0188363
1391.8000,0.0217968
1391.7000,0.0266061
1391.6000,0.0310391
1391.5000,0.0350428
1391.4000,0.0321557
1391.3000,0.0319959
1391.2000,0.0333909
1391.1000,0.0333249
1391.0000,0.0395784
1390.9000,0.0419062
1390.8000,0.0462973
1390.7000,0.0486354
1390.6000,0.0443871
1390.5000,0.0394767
1390.4000,0.0421759
1390.3000,0.0411575
1390.2000,0.0376053
1390.1000,0.0456776
