TITLE,sample 7
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,16:12:17
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,    -0.00201
MAXY,   500.00000
MINY,    -0.00737
XYDATA
1400.0000,-0.00200579
1399.9000,0.00328165
1399.8000,0.00619232
1399.7000,0.012385
1399.6000,0.00824642
1399.5000,0.0107072
1399.4000,0.0128346
1399.3000,0.0105526
1399.2000,0.0153638
1399.1000,0.00958067
1399.0000,0.0105129
1398.9000,0.00449079
1398.8000,0.00649499
1398.7000,0.000282135
1398.6000,-0.00097095
1398.5000,0.00388483
1398.4000,0.0061245
1398.3000,0.00196794
1398.2000,0.00411066
1398.1000,0.00414652
1398.0000,0.00350238
1397.9000,0.00398772
1397.8000,0.00545245
1397.7000,0.00564799
1397.6000,0.00792791
1397.5000,0.00545757
1397.4000,0.00298888
1397.3000,0.0151895
1397.2000,0.015138
1397.1000,0.0157737
1397.0000,0.00998822
1396.9000,0.0103175
1396.8000,0.0162752
1396.7000,0.0161896
1396.6000,0.0185493
1396.5000,0.0113641
1396.4000,0.0157021
1396.3000,0.0128102
1396.2000,0.00671263
1396.1000,0.00623095
1396.0000,-0.00100816
1395.9000,0.00489116
1395.8000,-6.34002E-05
1395.7000,0.00278044
1395.6000,0.000327101
1395.5000,0.00125683
1395.4000,0.00209975
1395.3000,-0.00227379
1395.2000,-0.00696356
1395.1000,-0.00159412
1395.0000,-0.00339256
1394.9000,0.000706196
1394.8000,-0.000218334
1394.7000,-0.00379451
1394.6000,-0.00646247
1394.5000,-0.00457594
1394.4000,-0.00313467
1394.3000,-0.00261299
1394.2000,-0.00318557
1394.1000,-0.00736606
1394.0000,-0.000664587
1393.9000,-0.00115331
1393.8000,-0.00103015
1393.7000,-0.000512437
1393.6000,0.00233659
1393.5000,0.00299456
1393.4000,0.00355002
1393.3000,0.0058767
1393.2000,0.00674865
1393.1000,0.0157388
1393.0000,0.0158596
1392.9000,0.0158541
1392.8000,0.0237298
1392.7000,0.0228128
1392.6000,0.0273123
1392.5000,0.0219521
1392.4000,0.0222019
1392.3000,0.0276871
1392.2000,0.0316892
1392.1000,0.0283737
1392.0000,0.0299458
1391.9000,0.0299522
1391.8000,0.0379734
1391.7000,0.0295785
1391.6000,0.0266992
1391.5000,0.0265037
1391.4000,0.0330421
1391.3000,0.0328755
1391.2000,0.0333838
1391.1000,0.0311459
1391.0000,0.0304535
1390.9000,0.03495
1390.8000,0.0311147
1390.7000,0.0388648
1390.6000,0.041434
1390.5000,0.0338366
1390.4000,0.0327231
1390.3000,0.0331288
1390.2000,0.0272066
