TITLE,sample5a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:40:23
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,    -0.00173
MAXY,   126.08289
MINY,    -0.00474
XYDATA
1400.0000,-0.00173368
1399.9000,-0.00468302
1399.8000,-0.00119089
1399.7000,-0.00473582
1399.6000,0.00124581
1399.5000,0.00942156
1399.4000,0.0167347
1399.3000,0.0140418
1399.2000,0.0192714
1399.1000,0.0235689
1399.0000,0.0237178
1398.9000,0.0266063
1398.8000,0.0260052
1398.7000,0.0292002
1398.6000,0.0361722
1398.5000,0.0453615
1398.4000,0.0395294
1398.3000,0.0341196
1398.2000,0.0318972
1398.1000,0.029082
1398.0000,0.0242959
1397.9000,0.0286274
1397.8000,0.0348073
1397.7000,0.0325751
1397.6000,0.0366376
1397.5000,0.031665
1397.4000,0.0346724
1397.3000,0.0361958
1397.2000,0.0370346
1397.1000,0.0378838
1397.0000,0.0361362
1396.9000,0.0405831
1396.8000,0.0435726
1396.7000,0.0541209
1396.6000,0.0531665
1396.5000,0.0600254
1396.4000,0.0567774
1396.3000,0.0489897
1396.2000,0.0346647
1396.1000,0.0373202
1396.0000,0.0369001
1395.9000,0.0372991
1395.8000,0.0350796
1395.7000,0.0290685
1395.6000,0.0360825
1395.5000,0.033625
1395.4000,0.0259197
1395.3000,0.0183646
1395.2000,0.0139402
1395.1000,0.0199194
1395.0000,0.0234352
1394.9000,0.0251055
1394.8000,0.0320115
1394.7000,0.0241749
1394.6000,0.0158321
1394.5000,0.0165766
1394.4000,0.0126404
1394.3000,0.0205391
1394.2000,0.0221838
1394.1000,0.0217376
1394.0000,0.0220532
1393.9000,0.0297797
1393.8000,0.0308517
1393.7000,0.0317023
1393.6000,0.0322204
1393.5000,0.0235341
1393.4000,0.0292908
1393.3000,0.0188192
1393.2000,0.0182645
1393.1000,0.0217105
1393.0000,0.0236004
1392.9000,0.02504
1392.8000,0.0256359
1392.7000,0.0245374
1392.6000,0.0223129
1392.5000,0.0234392
1392.4000,0.0173054
1392.3000,0.0149441
1392.2000,0.0191832
1392.1000,0.024231
1392.0000,0.0299679
1391.9000,0.0273427
1391.8000,0.0254456
1391.7000,0.0230554
1391.6000,0.0260953
1391.5000,0.0291347
1391.4000,0.0352183
1391.3000,0.0317076
1391.2000,0.039101
1391.1000,0.0363219
1391.0000,0.0318454
1390.9000,0.0344149
1390.8000,0.0349388
1390.7000,0.0308241
1390.6000,0.0295564
1390.5000,0.0269172
1390.4000,0.0275385
1390.3000,0.0341184
1390.2000,0.0313785
1390.1000,0.0381502
