TITLE,sample6
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:53:32
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,    -0.02611
MAXY,   122.75198
MINY,    -0.03353
XYDATA
1400.0000,-0.0261068
1399.9000,-0.0257621
1399.8000,-0.0335338
1399.7000,-0.0273082
1399.6000,-0.026238
1399.5000,-0.0244146
1399.4000,-0.0190096
1399.3000,-0.0181346
1399.2000,-0.0183382
1399.1000,-0.0150018
1399.0000,-0.0121793
1398.9000,-0.0180456
1398.8000,-0.0126211
1398.7000,-0.0153386
1398.6000,-0.0168495
1398.5000,-0.015138
1398.4000,-0.0154519
1398.3000,-0.0218094
1398.2000,-0.0163849
1398.1000,-0.00971504
1398.0000,-0.0031062
1397.9000,0.00375734
1397.8000,0.0130519
1397.7000,0.0100233
1397.6000,0.0111671
1397.5000,0.0141611
1397.4000,0.0113609
1397.3000,0.00916252
1397.2000,0.0053626
1397.1000,0.00667451
1397.0000,0.0117077
1396.9000,0.0155572
1396.8000,0.0180556
1396.7000,0.0196454
1396.6000,0.028818
1396.5000,0.0203407
1396.4000,0.0211694
1396.3000,0.0187494
1396.2000,0.0150024
1396.1000,0.0134659
1396.0000,0.0233761
1395.9000,0.0222145
1395.8000,0.0134689
1395.7000,0.0172079
1395.6000,0.0199293
1395.5000,0.0194092
1395.4000,0.0207568
1395.3000,0.0261554
1395.2000,0.0263868
1395.1000,0.03646
1395.0000,0.0325229
1394.9000,0.0203623
1394.8000,0.0205924
1394.7000,0.0203579
1394.6000,0.013758
1394.5000,0.0136171
1394.4000,0.00900004
1394.3000,0.00327167
1394.2000,0.00928161
1394.1000,0.010187
1394.0000,0.00661756
1393.9000,0.00899769
1393.8000,0.0144406
1393.7000,0.0111935
1393.6000,0.00528345
1393.5000,0.00594557
1393.4000,0.00260991
1393.3000,0.00843989
1393.2000,0.0118353
1393.1000,0.0184198
1393.0000,0.0234666
1392.9000,0.0196574
1392.8000,0.0165919
1392.7000,0.0131367
1392.6000,0.019681
1392.5000,0.0183744
1392.4000,0.0136806
1392.3000,0.0233504
1392.2000,0.0216528
1392.1000,0.0180703
1392.0000,0.0186379
1391.9000,0.0181572
1391.8000,0.016133
1391.7000,0.018254
1391.6000,0.0137762
1391.5000,0.0148699
1391.4000,0.023532
1391.3000,0.022016
1391.2000,0.0227747
1391.1000,0.0176648
1391.0000,0.0173939
1390.9000,0.0183045
1390.8000,0.0198867
1390.7000,0.0189036
1390.6000,0.0172161
1390.5000,0.0201061
1390.4000,0.0256376
1390.3000,0.0303958
1390.2000,0.0320109
