TITLE,sample2a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,10:45:28
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.00907
MAXY,   124.06940
MINY,    -0.01290
XYDATA
1400.0000,0.00906623
1399.9000,0.00982139
1399.8000,0.00587195
1399.7000,0.00873328
1399.6000,0.00271024
1399.5000,0.000525971
1399.4000,0.00659535
1399.3000,0.00830385
1399.2000,0.0153395
1399.1000,0.0130676
1399.0000,0.0137382
1398.9000,0.017175
1398.8000,0.0200714
1398.7000,0.0216822
1398.6000,0.0179845
1398.5000,0.0175349
1398.4000,0.0194096
1398.3000,0.0181398
1398.2000,0.0119599
1398.1000,0.00285992
1398.0000,0.0081831
1397.9000,0.00511495
1397.8000,0.000223434
1397.7000,-0.00655861
1397.6000,-0.00822852
1397.5000,0.00368419
1397.4000,0.0068243
1397.3000,-0.000561084
1397.2000,-0.00405318
1397.1000,0.00269796
1397.0000,0.0038078
1396.9000,0.0050993
1396.8000,0.00853291
1396.7000,0.00636223
1396.6000,0.00429353
1396.5000,0.0021964
1396.4000,-0.000553129
1396.3000,0.00150772
1396.2000,-0.00726202
1396.1000,-0.00877753
1396.0000,-0.0128665
1395.9000,-0.00619057
1395.8000,-0.00177686
1395.7000,-0.0030517
1395.6000,-0.0071022
1395.5000,-0.0128984
1395.4000,-0.00848039
1395.3000,-0.00417095
1395.2000,0.000843326
1395.1000,-0.000204061
1395.0000,0.0076487
1394.9000,0.0157155
1394.8000,0.0133189
1394.7000,0.0127073
1394.6000,0.021617
1394.5000,0.0184052
1394.4000,0.0147659
1394.3000,0.00606107
1394.2000,0.00839131
1394.1000,0.0175976
1394.0000,0.023006
1393.9000,0.0193868
1393.8000,0.0175806
1393.7000,0.023782
1393.6000,0.0263309
1393.5000,0.0254683
1393.4000,0.0266203
1393.3000,0.0286959
1393.2000,0.0326209
1393.1000,0.0288343
1393.0000,0.0285711
1392.9000,0.0310117
1392.8000,0.0351345
1392.7000,0.0367889
1392.6000,0.0303463
1392.5000,0.0310258
1392.4000,0.0337606
1392.3000,0.0354295
1392.2000,0.0314108
1392.1000,0.0337924
1392.0000,0.0295347
1391.9000,0.0300468
1391.8000,0.0301186
1391.7000,0.0265539
1391.6000,0.0277582
1391.5000,0.0291104
1391.4000,0.0212241
1391.3000,0.0243234
1391.2000,0.0233343
1391.1000,0.0242565
1391.0000,0.0265082
1390.9000,0.0266081
1390.8000,0.0229691
1390.7000,0.0278058
1390.6000,0.030504
1390.5000,0.022851
1390.4000,0.0199488
1390.3000,0.0184245
1390.2000,0.0250565
