TITLE,sample2
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,10:36:05
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.02243
MAXY,   121.75467
MINY,    -0.00189
XYDATA
1400.0000,0.0224273
1399.9000,0.0194869
1399.8000,0.0205641
1399.7000,0.0167072
1399.6000,0.0108048
1399.5000,0.00757365
1399.4000,0.00701582
1399.3000,0.0117757
1399.2000,0.0134915
1399.1000,0.010397
1399.0000,0.00312781
1398.9000,0.00174145
1398.8000,0.00675362
1398.7000,0.0052521
1398.6000,0.0108699
1398.5000,0.00837074
1398.4000,0.011873
1398.3000,0.00982393
1398.2000,0.00891596
1398.1000,0.0089266
1398.0000,3.16797E-05
1397.9000,0.0027346
1397.8000,0.000403199
1397.7000,0.00244555
1397.6000,0.00189221
1397.5000,0.00235772
1397.4000,0.00499175
1397.3000,-0.00188568
1397.2000,-0.00108841
1397.1000,0.00468644
1397.0000,0.00860548
1396.9000,0.00977301
1396.8000,0.00266849
1396.7000,0.00488148
1396.6000,0.00808663
1396.5000,0.00379777
1396.4000,0.00839097
1396.3000,0.0120946
1396.2000,0.0191662
1396.1000,0.023438
1396.0000,0.0207724
1395.9000,0.0214565
1395.8000,0.0244841
1395.7000,0.0285141
1395.6000,0.0263588
1395.5000,0.0260762
1395.4000,0.0215247
1395.3000,0.026511
1395.2000,0.0242126
1395.1000,0.0315748
1395.0000,0.0247166
1394.9000,0.0246836
1394.8000,0.032622
1394.7000,0.0247427
1394.6000,0.0252274
1394.5000,0.0232309
1394.4000,0.0203399
1394.3000,0.0183317
1394.2000,0.0198392
1394.1000,0.0276312
1394.0000,0.0300676
1393.9000,0.0235967
1393.8000,0.0210389
1393.7000,0.0240725
1393.6000,0.0288779
1393.5000,0.0254788
1393.4000,0.0259829
1393.3000,0.0317646
1393.2000,0.0320256
1393.1000,0.0310514
1393.0000,0.027713
1392.9000,0.0231121
1392.8000,0.0272357
1392.7000,0.0300575
1392.6000,0.0320646
1392.5000,0.0284951
1392.4000,0.0240598
1392.3000,0.0239335
1392.2000,0.0233358
1392.1000,0.021676
1392.0000,0.0213837
1391.9000,0.0199549
1391.8000,0.0247599
1391.7000,0.022199
1391.6000,0.0165087
1391.5000,0.0208567
1391.4000,0.0231638
1391.3000,0.0233035
1391.2000,0.0271339
1391.1000,0.0280021
1391.0000,0.0332862
1390.9000,0.0256952
1390.8000,0.0220126
1390.7000,0.019124
1390.6000,0.0228485
1390.5000,0.01792
1390.4000,0.0146767
1390.3000,0.0202591
1390.2000,0.0148309
1390.1000,0.0137124
1390.0000,0.0192228
