TITLE,sample3a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:03:04
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.03998
MAXY,   125.24290
MINY,    -0.01736
XYDATA
1400.0000,0.039979
1399.9000,0.0360923
1399.8000,0.0317288
1399.7000,0.0314335
1399.6000,0.0276228
1399.5000,0.0227649
1399.4000,0.0240117
1399.3000,0.0225058
1399.2000,0.0238575
1399.1000,0.0256657
1399.0000,0.018769
1398.9000,0.0125397
1398.8000,0.00945688
1398.7000,0.00770818
1398.6000,0.0152815
1398.5000,0.0172269
1398.4000,0.027789
1398.3000,0.0286175
1398.2000,0.0334008
1398.1000,0.0334434
1398.0000,0.0287363
1397.9000,0.0270727
1397.8000,0.0254556
1397.7000,0.0213647
1397.6000,0.015708
1397.5000,0.00791339
1397.4000,0.00862667
1397.3000,0.0141363
1397.2000,0.0133363
1397.1000,0.0145223
1397.0000,0.0128278
1396.9000,0.0142449
1396.8000,0.0139242
1396.7000,0.0137976
1396.6000,0.016717
1396.5000,0.0171195
1396.4000,0.0174876
1396.3000,0.0167299
1396.2000,0.0167483
1396.1000,0.018034
1396.0000,0.0152458
1395.9000,0.0086894
1395.8000,0.0103816
1395.7000,0.0162258
1395.6000,0.0226801
1395.5000,0.0240932
1395.4000,0.0120566
1395.3000,0.01127
1395.2000,0.00460147
1395.1000,0.00541644
1395.0000,-0.000414666
1394.9000,0.00269013
1394.8000,0.00716344
1394.7000,0.0115591
1394.6000,0.00891873
1394.5000,0.00880209
1394.4000,0.01189
1394.3000,0.0185294
1394.2000,0.0161266
1394.1000,0.0129683
1394.0000,0.00659535
1393.9000,0.0045444
1393.8000,0.00526655
1393.7000,0.00456475
1393.6000,0.00283066
1393.5000,0.00673055
1393.4000,0.00567167
1393.3000,-0.00206858
1393.2000,-0.00524429
1393.1000,-0.0020721
1393.0000,0.0012756
1392.9000,-0.00281158
1392.8000,0.00745595
1392.7000,0.00997124
1392.6000,0.00685157
1392.5000,0.00257497
1392.4000,-0.0015716
1392.3000,-0.00695678
1392.2000,-0.000249305
1392.1000,-0.00343601
1392.0000,-0.00383355
1391.9000,-0.0046943
1391.8000,-0.00426649
1391.7000,-0.00843546
1391.6000,-0.00840724
1391.5000,-0.0166896
1391.4000,-0.0173581
1391.3000,-0.0092021
1391.2000,-0.00843265
1391.1000,-0.00532752
1391.0000,-0.00476243
1390.9000,-0.00719596
1390.8000,-0.000434318
1390.7000,0.00163183
1390.6000,0.00854911
1390.5000,0.00330566
1390.4000,0.00278732
1390.3000,0.0036577
1390.2000,0.00361863
