TITLE,sample4a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,11:22:29
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01850
MAXY,   125.21647
MINY,     0.00189
XYDATA
1400.0000,0.0184981
1399.9000,0.0142212
1399.8000,0.020326
1399.7000,0.0217562
1399.6000,0.0239061
1399.5000,0.0178478
1399.4000,0.0146249
1399.3000,0.00924023
1399.2000,0.00653883
1399.1000,0.00188921
1399.0000,0.00449456
1398.9000,0.0119241
1398.8000,0.015843
1398.7000,0.0250176
1398.6000,0.0279041
1398.5000,0.0286492
1398.4000,0.024398
1398.3000,0.0209403
1398.2000,0.0196607
1398.1000,0.0268996
1398.0000,0.0323742
1397.9000,0.0365802
1397.8000,0.0305071
1397.7000,0.0272408
1397.6000,0.0216132
1397.5000,0.0220048
1397.4000,0.0155801
1397.3000,0.0186876
1397.2000,0.0234652
1397.1000,0.0219843
1397.0000,0.0216105
1396.9000,0.0197839
1396.8000,0.0243333
1396.7000,0.0299972
1396.6000,0.0182824
1396.5000,0.020934
1396.4000,0.0179038
1396.3000,0.0185464
1396.2000,0.0159921
1396.1000,0.0221646
1396.0000,0.0215536
1395.9000,0.0253743
1395.8000,0.0254783
1395.7000,0.0192299
1395.6000,0.0197623
1395.5000,0.0173028
1395.4000,0.0123725
1395.3000,0.0140081
1395.2000,0.019504
1395.1000,0.0215435
1395.0000,0.0210389
1394.9000,0.0138902
1394.8000,0.0167184
1394.7000,0.0117261
1394.6000,0.0150455
1394.5000,0.0179886
1394.4000,0.0250205
1394.3000,0.0323656
1394.2000,0.032872
1394.1000,0.0286514
1394.0000,0.0259293
1393.9000,0.0272663
1393.8000,0.0256719
1393.7000,0.0293411
1393.6000,0.0191968
1393.5000,0.011398
1393.4000,0.0208536
1393.3000,0.0147556
1393.2000,0.0142507
1393.1000,0.0145189
1393.0000,0.0200675
1392.9000,0.0246229
1392.8000,0.0195806
1392.7000,0.0174324
1392.6000,0.0207782
1392.5000,0.0297244
1392.4000,0.0232948
1392.3000,0.0216187
1392.2000,0.026038
1392.1000,0.0249533
1392.0000,0.0171677
1391.9000,0.0160024
1391.8000,0.0160187
1391.7000,0.0191185
1391.6000,0.0223232
1391.5000,0.0244017
1391.4000,0.0260346
1391.3000,0.0268968
1391.2000,0.0242355
1391.1000,0.0157409
1391.0000,0.0174189
1390.9000,0.0200882
1390.8000,0.0233804
1390.7000,0.0263005
1390.6000,0.0262268
1390.5000,0.0203081
1390.4000,0.0324102
1390.3000,0.0429408
1390.2000,0.0459184
1390.1000,0.0466646
1390.0000,0.0453992
