TITLE,sample3
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,10:55:29
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.01943
MAXY,   122.87317
MINY,    -0.00332
XYDATA
1400.0000,0.0194343
1399.9000,0.0191643
1399.8000,0.0179442
1399.7000,0.0180332
1399.6000,0.0187292
1399.5000,0.0170089
1399.4000,0.0272414
1399.3000,0.0287785
1399.2000,0.0311713
1399.1000,0.0180617
1399.0000,0.0210629
1398.9000,0.0274033
1398.8000,0.0274161
1398.7000,0.0240984
1398.6000,0.0157075
1398.5000,0.0153024
1398.4000,0.0177085
1398.3000,0.0177456
1398.2000,0.0207728
1398.1000,0.0230205
1398.0000,0.0242932
1397.9000,0.0267685
1397.8000,0.0233242
1397.7000,0.0261827
1397.6000,0.0266773
1397.5000,0.0243805
1397.4000,0.0210578
1397.3000,0.0184557
1397.2000,0.0156423
1397.1000,0.0133284
1397.0000,0.0180648
1396.9000,0.0158501
1396.8000,0.0121552
1396.7000,0.0086378
1396.6000,0.00475292
1396.5000,0.00268493
1396.4000,-9.72572E-05
1396.3000,0.00601123
1396.2000,0.00238201
1396.1000,0.00617809
1396.0000,0.011528
1395.9000,0.0188349
1395.8000,0.0101357
1395.7000,0.013906
1395.6000,0.0168762
1395.5000,0.0165998
1395.4000,0.0235412
1395.3000,0.0277723
1395.2000,0.0257799
1395.1000,0.0258036
1395.0000,0.0245043
1394.9000,0.0248837
1394.8000,0.0264774
1394.7000,0.0191917
1394.6000,0.0189202
1394.5000,0.0217212
1394.4000,0.0255115
1394.3000,0.0246882
1394.2000,0.0265294
1394.1000,0.0261781
1394.0000,0.0226688
1393.9000,0.0199245
1393.8000,0.0253989
1393.7000,0.0300724
1393.6000,0.0314472
1393.5000,0.0293519
1393.4000,0.0250936
1393.3000,0.0265901
1393.2000,0.0255757
1393.1000,0.0209535
1393.0000,0.0217918
1392.9000,0.0175786
1392.8000,0.00791048
1392.7000,0.00700698
1392.6000,0.0137554
1392.5000,0.008474
1392.4000,0.000983412
1392.3000,0.00272448
1392.2000,0.00236521
1392.1000,0.000416209
1392.0000,-0.00332491
1391.9000,7.2629E-05
1391.8000,0.000325055
1391.7000,0.00190214
1391.6000,-0.000597898
1391.5000,0.0041655
1391.4000,0.00383186
1391.3000,0.00264555
1391.2000,0.0075868
1391.1000,0.0120986
1391.0000,0.0149516
1390.9000,0.0137939
1390.8000,0.0255373
1390.7000,0.0231729
1390.6000,0.0185315
1390.5000,0.0155991
1390.4000,0.014432
1390.3000,0.0198085
1390.2000,0.0274031
1390.1000,0.025424
