TITLE,sample1a
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/14
TIME,10:30:53
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.00387
MAXY,   121.99065
MINY,    -0.00387
XYDATA
1400.0000,0.00386937
1399.9000,0.0106204
1399.8000,0.0117044
1399.7000,0.00378944
1399.6000,0.0135412
1399.5000,0.00706854
1399.4000,0.0095682
1399.3000,0.0128408
1399.2000,0.0132226
1399.1000,0.00909802
1399.0000,0.0119557
1398.9000,0.01596
1398.8000,0.019585
1398.7000,0.0199292
1398.6000,0.0124583
1398.5000,0.018457
1398.4000,0.00721589
1398.3000,0.0246931
1398.2000,0.035098
1398.1000,0.0338873
1398.0000,0.0369169
1397.9000,0.0393916
1397.8000,0.0325806
1397.7000,0.0219978
1397.6000,0.0221387
1397.5000,0.0189423
1397.4000,0.0171757
1397.3000,0.000726213
1397.2000,-0.00387498
1397.1000,-0.00178773
1397.0000,0.0114352
1396.9000,0.00921667
1396.8000,0.0119524
1396.7000,0.0172044
1396.6000,0.0189606
1396.5000,0.0220088
1396.4000,0.0102097
1396.3000,0.0161196
1396.2000,0.0167879
1396.1000,0.0169464
1396.0000,0.0218748
1395.9000,0.0187828
1395.8000,0.0117978
1395.7000,0.0125329
1395.6000,0.0115847
1395.5000,0.00954243
1395.4000,0.0146736
1395.3000,0.0155072
1395.2000,0.0261914
1395.1000,0.0168422
1395.0000,0.0197739
1394.9000,0.0220071
1394.8000,0.022675
1394.7000,0.0183861
1394.6000,0.0224304
1394.5000,0.0279871
1394.4000,0.0264775
1394.3000,0.0333067
1394.2000,0.0264012
1394.1000,0.0371792
1394.0000,0.0367451
1393.9000,0.0355089
1393.8000,0.0302356
1393.7000,0.0297025
1393.6000,0.0265485
1393.5000,0.027184
1393.4000,0.0267768
1393.3000,0.0298211
1393.2000,0.0364667
1393.1000,0.0354287
1393.0000,0.0311037
1392.9000,0.0291536
1392.8000,0.0205807
1392.7000,0.0231063
1392.6000,0.0235732
1392.5000,0.025419
1392.4000,0.0188448
1392.3000,0.0182434
1392.2000,0.0184892
1392.1000,0.0110602
1392.0000,0.00614022
1391.9000,0.00979179
1391.8000,0.00521944
1391.7000,0.00224433
1391.6000,-0.00238409
1391.5000,0.00566288
1391.4000,0.00553455
1391.3000,0.00335717
1391.2000,-0.00143861
1391.1000,-0.00255874
1391.0000,0.00605066
1390.9000,0.00702407
1390.8000,0.0153085
1390.7000,0.0149732
1390.6000,0.0151372
1390.5000,0.0163005
1390.4000,0.0172392
1390.3000,0.0127654
1390.2000,0.0141079
1390.1000,0.0114976
