XYDATA,sample11.jws
335.4000,126.866
335.5000,126.775
335.6000,126.685
335.7000,126.56
335.8000,126.492
335.9000,126.393
336.0000,126.302
336.1000,126.201
336.2000,126.091
336.3000,126.002
336.4000,125.891
336.5000,125.788
336.6000,125.692
336.7000,125.619
336.8000,125.523
336.9000,125.454
337.0000,125.377
337.1000,125.287
337.2000,125.19
337.3000,125.1
337.4000,124.984
337.5000,124.895
337.6000,124.822
337.7000,124.737
337.8000,124.639
337.9000,124.57
338.0000,124.502
338.1000,124.427
338.2000,124.349
338.3000,124.271
338.4000,124.175
338.5000,124.082
338.6000,123.992
338.7000,123.912
338.8000,123.824
338.9000,123.779
339.0000,123.682
339.1000,123.602
339.2000,123.519
339.3000,123.45
339.4000,123.387
339.5000,123.316
339.6000,123.228
339.7000,123.162
339.8000,123.091
339.9000,123.022
340.0000,122.945
340.1000,122.871
340.2000,122.791
340.3000,122.722
340.4000,122.652
340.5000,122.588
340.6000,122.54
340.7000,122.467
340.8000,122.385
340.9000,122.318
341.0000,122.256
341.1000,122.196
341.2000,122.12
341.3000,122.07
341.4000,121.993
341.5000,121.903
341.6000,121.854
341.7000,121.794
341.8000,121.746
341.9000,121.713
342.0000,121.658
342.1000,121.596
342.2000,121.545
342.3000,121.471
342.4000,121.424
342.5000,121.38
342.6000,121.331
342.7000,121.281
342.8000,121.236
342.9000,121.176
343.0000,121.129
343.1000,121.076
343.2000,121.044
343.3000,120.99
343.4000,120.958
343.5000,120.912
343.6000,120.882
343.7000,120.852
343.8000,120.794
343.9000,120.751
344.0000,120.704
344.1000,120.68
344.2000,120.659
344.3000,120.622
344.4000,120.591
344.5000,120.53
344.6000,120.508
344.7000,120.485
344.8000,120.451
344.9000,120.42
345.0000,120.387
345.1000,120.328
345.2000,120.289
345.3000,120.244
345.4000,120.206
345.5000,120.204
345.6000,120.162
345.7000,120.122
345.8000,120.084
345.9000,120.044
346.0000,120.027
346.1000,119.985
346.2000,119.96
346.3000,119.931
346.4000,119.895
346.5000,119.848
346.6000,119.795
346.7000,119.769
346.8000,119.728
346.9000,119.699
347.0000,119.675
347.1000,119.668
347.2000,119.641
347.3000,119.589
347.4000,119.544
347.5000,119.508
347.6000,119.465
347.7000,119.442
347.8000,119.411
347.9000,119.385
348.0000,119.352
348.1000,119.336
348.2000,119.293
348.3000,119.264
348.4000,119.247
348.5000,119.215
348.6000,119.182
348.7000,119.152
348.8000,119.137
348.9000,119.123
349.0000,119.079
349.1000,119.059
349.2000,119.03
349.3000,119.022
349.4000,118.985
349.5000,118.953
349.6000,118.918
349.7000,118.926
349.8000,118.9
349.9000,118.875
350.0000,118.844
350.1000,118.799
350.2000,118.78
350.3000,118.739
350.4000,118.714
350.5000,118.695
350.6000,118.689
350.7000,118.673
350.8000,118.66
350.9000,118.645
351.0000,118.623
351.1000,118.606
351.2000,118.589
351.3000,118.55
351.4000,118.539
351.5000,118.513
351.6000,118.488
351.7000,118.472
351.8000,118.457
351.9000,118.434
352.0000,118.422
352.1000,118.41
352.2000,118.402
352.3000,118.375
352.4000,118.361
352.5000,118.346
352.6000,118.341
352.7000,118.343
352.8000,118.347
352.9000,118.324
353.0000,118.319
353.1000,118.307
353.2000,118.322
353.3000,118.321
353.4000,118.3
353.5000,118.285
353.6000,118.282
353.7000,118.275
353.8000,118.267
353.9000,118.255
354.0000,118.258
354.1000,118.242
354.2000,118.231
354.3000,118.225
354.4000,118.212
354.5000,118.207
354.6000,118.198
354.7000,118.187
354.8000,118.191
354.9000,118.199
355.0000,118.191
355.1000,118.187
355.2000,118.171
355.3000,118.15
355.4000,118.157
355.5000,118.162
355.6000,118.16
355.7000,118.137
355.8000,118.138
355.9000,118.128
356.0000,118.117
356.1000,118.11
356.2000,118.109
356.3000,118.103
356.4000,118.087
356.5000,118.083
356.6000,118.085
356.7000,118.087
356.8000,118.081
356.9000,118.08
357.0000,118.064
357.1000,118.058
357.2000,118.046
357.3000,118.042
357.4000,118.04
357.5000,118.028
357.6000,118.016
357.7000,118
357.8000,118.014
357.9000,118.029
358.0000,118.011
358.1000,118.001
358.2000,118.003
358.3000,117.993
358.4000,117.987
358.5000,117.976
358.6000,117.966
358.7000,117.965
358.8000,117.96
358.9000,117.97
359.0000,117.958
359.1000,117.952
359.2000,117.956
359.3000,117.952
359.4000,117.944
359.5000,117.94
359.6000,117.941
359.7000,117.941
359.8000,117.94
359.9000,117.929
360.0000,117.937
360.1000,117.943
360.2000,117.951
360.3000,117.944
360.4000,117.948
360.5000,117.947
360.6000,117.956
360.7000,117.967
360.8000,117.978
360.9000,117.999
361.0000,117.983
361.1000,117.977
361.2000,117.989
361.3000,117.991
361.4000,117.997
361.5000,117.999
361.6000,118.012
361.7000,118.03
361.8000,118.04
361.9000,118.042
362.0000,118.055
362.1000,118.08
362.2000,118.092
362.3000,118.104
362.4000,118.102
362.5000,118.12
362.6000,118.136
362.7000,118.141
362.8000,118.136
362.9000,118.153
363.0000,118.155
363.1000,118.173
363.2000,118.166
363.3000,118.174
363.4000,118.179
363.5000,118.202
363.6000,118.209
363.7000,118.222
363.8000,118.22
363.9000,118.232
364.0000,118.231
364.1000,118.227
364.2000,118.243
364.3000,118.234
364.4000,118.242
364.5000,118.25
364.6000,118.258
364.7000,118.273
364.8000,118.278
364.9000,118.276
365.0000,118.272
365.1000,118.275
365.2000,118.27
365.3000,118.268
365.4000,118.279
365.5000,118.28
365.6000,118.286
