TITLE,sample1
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/19
TIME,13:59:00
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,    -0.01625
MAXY,   127.71287
MINY,    -0.32043
XYDATA
1400.0000,-0.0162488
1399.9000,-0.0153894
1399.8000,-0.0154266
1399.7000,-0.0168471
1399.6000,-0.0120069
1399.5000,-0.0107411
1399.4000,-0.0137375
1399.3000,-0.0154189
1399.2000,-0.0102257
1399.1000,-0.0118374
1399.0000,-0.0123074
1398.9000,-0.00876202
1398.8000,-0.00447432
1398.7000,-0.00637447
1398.6000,-0.0118774
1398.5000,-0.00928986
1398.4000,-0.0135177
1398.3000,-0.0115462
1398.2000,-0.0147002
1398.1000,-0.0193845
1398.0000,-0.0295103
1397.9000,-0.0335415
1397.8000,-0.0376308
1397.7000,-0.0307477
1397.6000,-0.0330994
1397.5000,-0.0355468
1397.4000,-0.043924
1397.3000,-0.0472129
1397.2000,-0.0492866
1397.1000,-0.0509194
1397.0000,-0.052059
1396.9000,-0.0556125
1396.8000,-0.0589214
1396.7000,-0.0597865
1396.6000,-0.0572614
1396.5000,-0.0587811
1396.4000,-0.0570554
1396.3000,-0.057582
1396.2000,-0.0574016
1396.1000,-0.0561954
1396.0000,-0.0598387
1395.9000,-0.0575282
1395.8000,-0.0506937
1395.7000,-0.0468929
1395.6000,-0.048326
1395.5000,-0.0450889
1395.4000,-0.0451497
1395.3000,-0.0476922
1395.2000,-0.0541732
1395.1000,-0.0496394
1395.0000,-0.0501731
1394.9000,-0.0479484
1394.8000,-0.0432318
1394.7000,-0.0378461
1394.6000,-0.0287457
1394.5000,-0.0351382
1394.4000,-0.0328232
1394.3000,-0.0325447
1394.2000,-0.0238622
1394.1000,-0.0227382
1394.0000,-0.0230803
1393.9000,-0.022612
1393.8000,-0.0223311
1393.7000,-0.0265354
1393.6000,-0.0257894
1393.5000,-0.0210686
1393.4000,-0.0277631
1393.3000,-0.0208083
1393.2000,-0.0232113
1393.1000,-0.0221941
1393.0000,-0.0221342
1392.9000,-0.0214549
1392.8000,-0.0207108
1392.7000,-0.0214282
1392.6000,-0.0273153
1392.5000,-0.0322815
1392.4000,-0.0333362
1392.3000,-0.0350688
1392.2000,-0.0319976
1392.1000,-0.0321164
1392.0000,-0.0242135
1391.9000,-0.0274702
1391.8000,-0.0271727
1391.7000,-0.0317976
1391.6000,-0.034769
1391.5000,-0.0389082
1391.4000,-0.0410483
1391.3000,-0.0329647
1391.2000,-0.0374382
1391.1000,-0.0356185
1391.0000,-0.031609
1390.9000,-0.0202166
1390.8000,-0.0231967
