TITLE,sample9
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/19
TIME,14:53:08
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.00430
MAXY,   500.00000
MINY,    -0.01864
XYDATA
1400.0000,0.00430175
1399.9000,0.00929936
1399.8000,0.00769036
1399.7000,0.00493868
1399.6000,0.00398444
1399.5000,0.00474598
1399.4000,0.00418845
1399.3000,-0.00834553
1399.2000,-0.0120613
1399.1000,-0.0101094
1399.0000,-0.0124746
1398.9000,-0.0134495
1398.8000,-0.0148692
1398.7000,-0.0156865
1398.6000,-0.0167326
1398.5000,-0.00955913
1398.4000,-0.0166779
1398.3000,-0.0182628
1398.2000,-0.0186368
1398.1000,-0.015441
1398.0000,-0.00983901
1397.9000,-0.0138827
1397.8000,-0.00987463
1397.7000,-0.00210244
1397.6000,0.00224838
1397.5000,0.00212122
1397.4000,0.0041684
1397.3000,0.00460828
1397.2000,0.00572885
1397.1000,0.00510632
1397.0000,0.0109176
1396.9000,0.0180645
1396.8000,0.0205267
1396.7000,0.0173056
1396.6000,0.0197488
1396.5000,0.0178446
1396.4000,0.0141581
1396.3000,0.012594
1396.2000,0.0139318
1396.1000,0.0262906
1396.0000,0.0293792
1395.9000,0.0269019
1395.8000,0.0267898
1395.7000,0.0281371
1395.6000,0.0291351
1395.5000,0.0248167
1395.4000,0.0291647
1395.3000,0.0295348
1395.2000,0.0263692
1395.1000,0.0262805
1395.0000,0.0213928
1394.9000,0.0210842
1394.8000,0.0153362
1394.7000,0.0215239
1394.6000,0.0211685
1394.5000,0.0135284
1394.4000,0.00925467
1394.3000,0.019494
1394.2000,0.0212754
1394.1000,0.0187455
1394.0000,0.0152586
1393.9000,0.0115685
1393.8000,0.0146337
1393.7000,0.0161296
1393.6000,0.0144995
1393.5000,0.0120966
1393.4000,0.00953121
1393.3000,0.0157103
1393.2000,0.0129804
1393.1000,0.017174
1393.0000,0.0122797
1392.9000,0.00846391
1392.8000,0.00967051
1392.7000,0.0147464
1392.6000,0.0157799
1392.5000,0.0188087
1392.4000,0.0145067
1392.3000,0.0151637
1392.2000,0.0144107
1392.1000,0.0133619
1392.0000,0.0235128
1391.9000,0.02301
1391.8000,0.0229713
1391.7000,0.0251083
1391.6000,0.0271089
1391.5000,0.026643
1391.4000,0.0319119
1391.3000,0.0358344
1391.2000,0.0360631
1391.1000,0.0308049
1391.0000,0.0337565
1390.9000,0.0369434
1390.8000,0.0456204
1390.7000,0.0596323
1390.6000,0.0545218
1390.5000,0.0459505
1390.4000,0.0460632
1390.3000,0.0471348
1390.2000,0.0528994
