XYDATA,sample12.jws
300.0000,1069.24
300.1000,1050.75
300.2000,1033.27
300.3000,1015.87
300.4000,998.321
300.5000,981.777
300.6000,965.685
300.7000,949.746
300.8000,934.358
300.9000,919.211
301.0000,904.399
301.1000,889.982
301.2000,875.827
301.3000,862.176
301.4000,848.885
301.5000,835.8
301.6000,823.001
301.7000,810.712
301.8000,798.393
301.9000,786.479
302.0000,775.107
302.1000,763.899
302.2000,752.578
302.3000,741.667
302.4000,731.218
302.5000,720.824
302.6000,710.7
302.7000,700.79
302.8000,691.033
302.9000,681.538
303.0000,672.541
303.1000,663.429
303.2000,654.537
303.3000,645.883
303.4000,637.115
303.5000,628.653
303.6000,620.53
303.7000,612.487
303.8000,604.558
303.9000,596.976
304.0000,589.564
304.1000,582.04
304.2000,574.752
304.3000,567.634
304.4000,560.774
304.5000,553.91
304.6000,547.148
304.7000,540.628
304.8000,534.328
304.9000,527.923
305.0000,521.783
305.1000,515.645
305.2000,509.675
305.3000,503.84
305.4000,498.215
305.5000,492.671
305.6000,487.097
305.7000,481.76
305.8000,476.422
305.9000,471.215
306.0000,466.3
306.1000,461.357
306.2000,456.327
306.3000,451.457
306.4000,446.828
306.5000,442.293
306.6000,437.798
306.7000,433.342
306.8000,428.941
306.9000,424.632
307.0000,420.376
307.1000,416.144
307.2000,411.981
307.3000,408.06
307.4000,404.189
307.5000,400.344
307.6000,396.49
307.7000,392.83
307.8000,389.205
307.9000,385.543
308.0000,382.044
308.1000,378.585
308.2000,375.199
308.3000,371.819
308.4000,368.551
308.5000,365.319
308.6000,362.116
308.7000,359.022
308.8000,355.975
308.9000,352.977
309.0000,350.03
309.1000,347.069
309.2000,344.112
309.3000,341.292
309.4000,338.514
309.5000,335.822
309.6000,333.073
309.7000,330.37
309.8000,327.811
309.9000,325.209
310.0000,322.704
310.1000,320.247
310.2000,317.848
310.3000,315.447
310.4000,313.086
310.5000,310.711
310.6000,308.397
310.7000,306.178
310.8000,303.987
310.9000,301.791
311.0000,299.613
311.1000,297.528
311.2000,295.457
311.3000,293.37
311.4000,291.339
311.5000,289.388
311.6000,287.386
311.7000,285.463
311.8000,283.579
311.9000,281.672
312.0000,279.83
312.1000,278.001
312.2000,276.165
312.3000,274.421
312.4000,272.677
312.5000,270.985
312.6000,269.309
312.7000,267.575
312.8000,265.953
312.9000,264.303
313.0000,262.729
313.1000,261.174
313.2000,259.578
313.3000,257.984
313.4000,256.452
313.5000,254.996
313.6000,253.514
313.7000,252.051
313.8000,250.623
313.9000,249.201
314.0000,247.782
314.1000,246.395
314.2000,245.059
314.3000,243.714
314.4000,242.363
314.5000,241.086
314.6000,239.802
314.7000,238.552
314.8000,237.305
314.9000,236.059
315.0000,234.897
315.1000,233.706
315.2000,232.515
315.3000,231.319
315.4000,230.232
315.5000,229.095
315.6000,227.996
315.7000,226.866
315.8000,225.767
315.9000,224.726
316.0000,223.659
316.1000,222.61
316.2000,221.56
316.3000,220.541
316.4000,219.529
316.5000,218.536
316.6000,217.577
316.7000,216.606
316.8000,215.655
316.9000,214.726
317.0000,213.832
317.1000,212.869
317.2000,212.008
317.3000,211.102
317.4000,210.223
317.5000,209.337
317.6000,208.48
317.7000,207.634
317.8000,206.765
317.9000,205.928
318.0000,205.112
318.1000,204.33
318.2000,203.501
318.3000,202.706
318.4000,201.942
318.5000,201.172
318.6000,200.382
318.7000,199.639
318.8000,198.879
318.9000,198.113
319.0000,197.407
319.1000,196.681
319.2000,195.979
319.3000,195.277
319.4000,194.564
319.5000,193.893
319.6000,193.243
319.7000,192.61
319.8000,191.944
319.9000,191.286
320.0000,190.664
320.1000,190.041
320.2000,189.399
320.3000,188.842
320.4000,188.221
320.5000,187.627
320.6000,187.058
320.7000,186.48
320.8000,185.91
320.9000,185.313
321.0000,184.749
321.1000,184.163
321.2000,183.604
321.3000,183.028
321.4000,182.478
321.5000,181.949
321.6000,181.371
321.7000,180.868
321.8000,180.329
321.9000,179.781
322.0000,179.257
322.1000,178.788
322.2000,178.271
322.3000,177.785
322.4000,177.28
322.5000,176.808
322.6000,176.342
322.7000,175.874
322.8000,175.386
322.9000,174.92
323.0000,174.462
323.1000,174.009
323.2000,173.553
323.3000,173.119
323.4000,172.645
323.5000,172.169
323.6000,171.749
323.7000,171.321
323.8000,170.871
323.9000,170.438
324.0000,169.99
324.1000,169.593
324.2000,169.226
324.3000,168.827
324.4000,168.44
324.5000,168.004
324.6000,167.617
324.7000,167.225
324.8000,166.88
324.9000,166.488
325.0000,166.137
325.1000,165.786
325.2000,165.413
325.3000,165.011
325.4000,164.628
325.5000,164.266
325.6000,163.915
325.7000,163.566
325.8000,163.225
325.9000,162.869
326.0000,162.555
326.1000,162.194
326.2000,161.848
326.3000,161.52
326.4000,161.187
326.5000,160.858
326.6000,160.572
326.7000,160.287
326.8000,159.967
326.9000,159.634
327.0000,159.328
327.1000,159.045
