TITLE,sample18
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/20
TIME,12:31:42
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.02877
MAXY,   500.00000
MINY,     0.01047
XYDATA
1400.0000,0.0287696
1399.9000,0.0297523
1399.8000,0.0315497
1399.7000,0.0320114
1399.6000,0.0380504
1399.5000,0.0337901
1399.4000,0.0374899
1399.3000,0.0393226
1399.2000,0.0381235
1399.1000,0.0415698
1399.0000,0.0393419
1398.9000,0.0426066
1398.8000,0.0432657
1398.7000,0.0446801
1398.6000,0.0421959
1398.5000,0.0433049
1398.4000,0.0453229
1398.3000,0.0454773
1398.2000,0.0431857
1398.1000,0.0425861
1398.0000,0.0428508
1397.9000,0.0436916
1397.8000,0.0333033
1397.7000,0.0317791
1397.6000,0.0314463
1397.5000,0.0389976
1397.4000,0.031572
1397.3000,0.0288283
1397.2000,0.0333715
1397.1000,0.0317352
1397.0000,0.0310332
1396.9000,0.0363523
1396.8000,0.0346224
1396.7000,0.0291751
1396.6000,0.0243659
1396.5000,0.0306776
1396.4000,0.0285758
1396.3000,0.0245039
1396.2000,0.0229973
1396.1000,0.0231158
1396.0000,0.0219258
1395.9000,0.0233966
1395.8000,0.0265005
1395.7000,0.0244786
1395.6000,0.0253179
1395.5000,0.021304
1395.4000,0.0223832
1395.3000,0.0162039
1395.2000,0.0195009
1395.1000,0.0284885
1395.0000,0.0265796
1394.9000,0.0240775
1394.8000,0.0198455
1394.7000,0.0168137
1394.6000,0.0267637
1394.5000,0.0335003
1394.4000,0.0297777
1394.3000,0.0241381
1394.2000,0.032248
1394.1000,0.0336174
1394.0000,0.036133
1393.9000,0.0385999
1393.8000,0.0395558
1393.7000,0.0304745
1393.6000,0.0297159
1393.5000,0.0291216
1393.4000,0.0339856
1393.3000,0.0283851
1393.2000,0.0240082
1393.1000,0.0315873
1393.0000,0.0334212
1392.9000,0.031177
1392.8000,0.0281608
1392.7000,0.0275805
1392.6000,0.0288826
1392.5000,0.031946
1392.4000,0.0264489
1392.3000,0.0266597
1392.2000,0.027271
1392.1000,0.0265713
1392.0000,0.0218933
1391.9000,0.0104684
1391.8000,0.0158402
1391.7000,0.0139683
1391.6000,0.018076
1391.5000,0.0222478
1391.4000,0.0160831
1391.3000,0.0115748
1391.2000,0.0186768
1391.1000,0.0218673
1391.0000,0.0239639
1390.9000,0.0196326
1390.8000,0.0149586
1390.7000,0.0152567
1390.6000,0.0119601
1390.5000,0.0208194
1390.4000,0.0265356
1390.3000,0.0308362
1390.2000,0.0254174
1390.1000,0.0223167
1390.0000,0.0239509
