TITLE,sample20
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,25/11/20
TIME,12:45:32
SPECTROMETER/DATA SYSTEM,
LOCALE,1033
RESOLUTION,
DELTAX,-0.1
XUNITS,NANOMETERS
YUNITS,TRANSMITTANCE
FIRSTX, 1400.0000
LASTX,  300.0000
NPOINTS,   11001
FIRSTY,     0.00635
MAXY,   500.00000
MINY,    -0.02277
XYDATA
1400.0000,0.00634751
1399.9000,-0.0021003
1399.8000,0.00788627
1399.7000,0.0175287
1399.6000,0.0158834
1399.5000,0.00703307
1399.4000,0.0012683
1399.3000,-0.00405741
1399.2000,-0.00722531
1399.1000,-0.0132672
1399.0000,-0.0191047
1398.9000,-0.018585
1398.8000,-0.0227657
1398.7000,-0.0108456
1398.6000,-0.011055
1398.5000,-0.00786115
1398.4000,-0.00895311
1398.3000,-0.0105528
1398.2000,-0.00985841
1398.1000,-0.00614797
1398.0000,-0.00879653
1397.9000,-0.00941945
1397.8000,-0.00603288
1397.7000,-0.00612755
1397.6000,-0.00268524
1397.5000,-0.000148802
1397.4000,-0.00383568
1397.3000,-0.0046903
1397.2000,-0.0102169
1397.1000,-0.00464381
1397.0000,-0.00365163
1396.9000,-0.00849154
1396.8000,-0.0057177
1396.7000,0.00531671
1396.6000,0.00182372
1396.5000,-0.0113549
1396.4000,-0.00665324
1396.3000,0.00143619
1396.2000,0.00569073
1396.1000,0.00976426
1396.0000,0.0122333
1395.9000,0.0169299
1395.8000,0.018799
1395.7000,0.015567
1395.6000,0.0218412
1395.5000,0.0126376
1395.4000,0.00807667
1395.3000,0.00490555
1395.2000,0.00233652
1395.1000,0.0034157
1395.0000,0.00495687
1394.9000,0.00415608
1394.8000,0.00542358
1394.7000,0.00406361
1394.6000,0.00142887
1394.5000,-0.0040755
1394.4000,0.00353457
1394.3000,0.0132374
1394.2000,0.0134485
1394.1000,0.0157602
1394.0000,0.0222472
1393.9000,0.0184353
1393.8000,0.0172178
1393.7000,0.0208736
1393.6000,0.0214213
1393.5000,0.0157822
1393.4000,0.0171313
1393.3000,0.0269868
1393.2000,0.0281475
1393.1000,0.0282048
1393.0000,0.0274225
1392.9000,0.0242514
1392.8000,0.0236003
1392.7000,0.0263291
1392.6000,0.0250385
1392.5000,0.0286754
1392.4000,0.025866
1392.3000,0.0329682
1392.2000,0.0374482
1392.1000,0.0427855
1392.0000,0.0421024
1391.9000,0.045384
1391.8000,0.0449349
1391.7000,0.0407942
1391.6000,0.0437776
1391.5000,0.0446721
1391.4000,0.0418483
1391.3000,0.0457279
1391.2000,0.0337328
1391.1000,0.0263149
1391.0000,0.0243793
1390.9000,0.0218993
1390.8000,0.0227629
1390.7000,0.0222022
1390.6000,0.025075
1390.5000,0.0229942
1390.4000,0.0192629
1390.3000,0.0185426
